idVille;year_;month_;ville;prix_moyen_mois_maison_vente;prix_moyen_mois_appart_location;prix_moyen_mois_appart_vente;prix_moyen_mois_maison_location;rendement_maison;rendement_appart
3005;2019.0;1;Mulhouse;7316.373333334;10.4333333333;7316.373333334;10.4333333333;1.7112303363;1.7112303363
2987;2019.0;1;Saint-Étienne;1260.3066666663;9.3333333333;1260.3066666663;9.3333333333;8.886725982;8.886725982
2986;2018.0;12;Lille;3501.0024999983;16.62;3501.0024999983;16.62;5.6966540298;5.6966540298
3010;2019.0;1;Roubaix;1670.2566666663;14.0666666667;1670.2566666663;14.0666666667;10.106231178;10.106231178
2993;2019.0;1;Le Mans;1600.7833333332;11.3666666667;1600.7833333332;11.3666666667;8.5208283445;8.5208283445
2998;2018.0;11;Nîmes;2116.5737500003;11.7714285714;2116.5737500003;11.7714285714;6.6738587709;6.6738587709
2998;2018.0;10;Nîmes;1770.7;11.9;2034.2799999999;8.7;5.8959733439;7.0196826396
2985;2018.0;10;Reims;2197.3700000001;13.8;2314.6200000001;9.4;5.133409485;7.1545221246
3012;2019.0;1;Tourcoing;1893.2499999996;12.6;1893.2499999996;12.6;7.9862670012;7.9862670012
2998;2018.0;12;Nîmes;2219.4575000006;11.9;2219.4575000006;11.9;6.4340047061;6.4340047061
2994;2018.0;10;Clermont-Ferrand;1873.1000000001;11.5;2091.6800000001;9.2;5.8939725589;6.5975675055
2994;2018.0;11;Clermont-Ferrand;2402.4599999988;12.0;2402.4599999988;12.0;5.9938562973;5.9938562973
2994;2018.0;12;Clermont-Ferrand;2570.875;12.26;2570.875;12.26;5.7225652745;5.7225652745
3009;2019.0;1;Nancy;5852.4433333329;12.7666666667;5852.4433333329;12.7666666667;2.617710096;2.617710096
3001;2019.0;1;Metz;2255.0466666668;12.2666666667;2255.0466666668;12.2666666667;6.5275810996;6.5275810996
2987;2018.0;12;Saint-Étienne;1267.2875000003;9.38;1267.2875000003;9.38;8.8819624592;8.8819624592
2987;2018.0;10;Saint-Étienne;1687.32;16.7;2546.19;10.9;7.7519379845;7.8705831065
2987;2018.0;11;Saint-Étienne;1277.7814285719;9.1714285714;1277.7814285719;9.1714285714;8.6131430929;8.6131430929
3002;2018.0;12;Besançon;2056.6174999996;13.06;2056.6174999996;13.06;7.6202794151;7.6202794151
3002;2018.0;11;Besançon;2006.6462499997;13.6142857143;2006.6462499997;13.6142857143;8.1415161527;8.1415161527
