IDVille;Ville;Date_extraction;Prix_appartement_min;Prix_appartement_max;Prix_appartement_moyen;Prix_maison_min;Prix_maison_max;Prix_maison_moyen
2992;Brest               ;2018-11-02 14:18:43;1446.91 ;2606.12 ;1581.91 ;1446.91 ;2606.12 ;1581.91 
2992;Brest               ;2018-11-03 01:00:02;1446.91 ;2606.12 ;1581.91 ;1446.91 ;2606.12 ;1581.91 
2992;Brest               ;2018-11-04 22:39:35;1453.09 ;2638.89 ;1586.72 ;1453.09 ;2638.89 ;1586.72 
2992;Brest               ;2018-11-06 09:33:17;1465.0  ;2963.5  ;1620.69 ;1465.0  ;2963.5  ;1620.69 
2992;Brest               ;2018-11-07 23:25:12;1479.34 ;2888.34 ;1624.23 ;1479.34 ;2888.34 ;1624.23 
2992;Brest               ;2018-11-11 20:30:02;1466.67 ;2978.68 ;1629.93 ;1466.67 ;2978.68 ;1629.93 
2992;Brest               ;2018-11-15 19:09:09;1478.4  ;2886.95 ;1623.95 ;1478.4  ;2886.95 ;1623.95 
2992;Brest               ;2018-11-25 20:30:02;1468.22 ;2979.91 ;1636.96 ;1468.22 ;2979.91 ;1636.96 
2992;Brest               ;2018-12-02 20:30:01;1464.29 ;2958.56 ;1629.0  ;1464.29 ;2958.56 ;1629.0  
2992;Brest               ;2018-12-16 20:30:01;1464.0  ;2928.57 ;1625.04 ;1464.0  ;2928.57 ;1625.04 
2992;Brest               ;2018-12-23 20:30:02;1476.19 ;2888.93 ;1625.76 ;1476.19 ;2888.93 ;1625.76 
2992;Brest               ;2018-12-30 20:30:02;1464.66 ;2918.75 ;1624.52 ;1464.66 ;2918.75 ;1624.52 
2992;Brest               ;2019-01-06 20:30:02;1471.09 ;2931.82 ;1636.52 ;1471.09 ;2931.82 ;1636.52 
2992;Brest               ;2019-01-20 20:30:02;1482.76 ;2879.38 ;1636.88 ;1482.76 ;2879.38 ;1636.88 
2992;Brest               ;2019-01-27 20:30:02;1476.63 ;2918.75 ;1641.5  ;1476.63 ;2918.75 ;1641.5  
3003;Caen                ;2018-11-02 14:18:43;2222.22 ;3842.64 ;2382.61 ;2222.22 ;3842.64 ;2382.61 
3003;Caen                ;2018-11-03 01:00:02;2222.22 ;3842.64 ;2382.61 ;2222.22 ;3842.64 ;2382.61 
3003;Caen                ;2018-11-04 22:39:35;2225.68 ;3839.29 ;2382.16 ;2225.68 ;3839.29 ;2382.16 
3003;Caen                ;2018-11-06 09:33:17;2395.52 ;4231.28 ;2590.16 ;2395.52 ;4231.28 ;2590.16 
3003;Caen                ;2018-11-07 23:25:12;2392.53 ;4232.43 ;2589.26 ;2392.53 ;4232.43 ;2589.26 
3003;Caen                ;2018-11-11 20:30:02;2384.62 ;4233.33 ;2585.67 ;2384.62 ;4233.33 ;2585.67 
3003;Caen                ;2018-11-15 19:09:09;2358.9  ;4230.49 ;2572.54 ;2358.9  ;4230.49 ;2572.54 
3003;Caen                ;2018-11-25 20:30:02;2379.28 ;4315.89 ;2599.14 ;2379.28 ;4315.89 ;2599.14 
3003;Caen                ;2018-12-02 20:30:01;2358.9  ;4300.0  ;2589.78 ;2358.9  ;4300.0  ;2589.78 
3003;Caen                ;2018-12-16 20:30:01;2358.61 ;4300.0  ;2585.18 ;2358.61 ;4300.0  ;2585.18 
3003;Caen                ;2018-12-23 20:30:02;2365.38 ;4352.0  ;2595.99 ;2365.38 ;4352.0  ;2595.99 
3003;Caen                ;2018-12-30 20:30:02;2355.56 ;4312.6  ;2581.01 ;2355.56 ;4312.6  ;2581.01 
3003;Caen                ;2019-01-06 20:30:02;2406.25 ;4345.68 ;2610.28 ;2406.25 ;4345.68 ;2610.28 
3003;Caen                ;2019-01-20 20:30:02;2437.5  ;4325.58 ;2626.44 ;2437.5  ;4325.58 ;2626.44 
3003;Caen                ;2019-01-27 20:30:02;2437.5  ;4325.58 ;2626.44 ;2437.5  ;4325.58 ;2626.44 
2994;Clermont-Ferrand    ;2018-10-31 14:39:05;1924.53 ;3374.63 ;2091.68 ;1844.64 ;2594.26 ;1873.1  
2994;Clermont-Ferrand    ;2018-11-04 22:39:35;1926.83 ;3333.66 ;2087.3  ;1926.83 ;3333.66 ;2087.3  
2994;Clermont-Ferrand    ;2018-11-06 09:33:17;2083.72 ;4570.0  ;2482.69 ;2083.72 ;4570.0  ;2482.69 
2994;Clermont-Ferrand    ;2018-11-07 23:25:12;2083.72 ;4570.0  ;2482.69 ;2083.72 ;4570.0  ;2482.69 
2994;Clermont-Ferrand    ;2018-11-11 20:30:02;2074.07 ;4570.0  ;2472.04 ;2074.07 ;4570.0  ;2472.04 
2994;Clermont-Ferrand    ;2018-11-15 19:09:09;2071.43 ;4570.0  ;2459.6  ;2071.43 ;4570.0  ;2459.6  
2994;Clermont-Ferrand    ;2018-11-25 20:30:02;2058.82 ;4523.05 ;2430.44 ;2058.82 ;4523.05 ;2430.44 
2994;Clermont-Ferrand    ;2018-12-02 20:30:01;2158.11 ;4692.22 ;2588.1  ;2158.11 ;4692.22 ;2588.1  
2994;Clermont-Ferrand    ;2018-12-16 20:30:01;2140.94 ;4688.33 ;2563.8  ;2140.94 ;4688.33 ;2563.8  
2994;Clermont-Ferrand    ;2018-12-23 20:30:02;2159.26 ;4692.22 ;2589.56 ;2159.26 ;4692.22 ;2589.56 
2994;Clermont-Ferrand    ;2018-12-30 20:30:02;2128.71 ;4675.0  ;2542.04 ;2128.71 ;4675.0  ;2542.04 
2994;Clermont-Ferrand    ;2019-01-06 20:30:02;2063.49 ;4623.33 ;2454.34 ;2063.49 ;4623.33 ;2454.34 
2994;Clermont-Ferrand    ;2019-01-20 20:30:02;2027.03 ;4517.44 ;2374.35 ;2027.03 ;4517.44 ;2374.35 
2994;Clermont-Ferrand    ;2019-01-27 20:30:02;2027.03 ;4517.44 ;2374.35 ;2027.03 ;4517.44 ;2374.35 
2991;Dijon               ;2018-10-31 14:39:05;2029.41 ;3444.73 ;2131.97 ;2751.43 ;4690.35 ;2864.8  
2991;Dijon               ;2018-11-02 14:18:43;2235.29 ;3640.0  ;2333.37 ;2235.29 ;3640.0  ;2333.37 
2991;Dijon               ;2018-11-03 01:00:02;2235.29 ;3640.0  ;2333.37 ;2235.29 ;3640.0  ;2333.37 
2991;Dijon               ;2018-11-04 22:39:35;2238.1  ;3640.0  ;2337.02 ;2238.1  ;3640.0  ;2337.02 
2991;Dijon               ;2018-11-06 09:33:17;2298.0  ;3791.67 ;2374.62 ;2298.0  ;3791.67 ;2374.62 
2991;Dijon               ;2018-11-07 23:25:12;2298.0  ;3800.0  ;2375.38 ;2298.0  ;3800.0  ;2375.38 
2991;Dijon               ;2018-11-11 20:30:02;2291.67 ;3791.67 ;2372.37 ;2291.67 ;3791.67 ;2372.37 
2991;Dijon               ;2018-11-15 19:09:09;2294.59 ;3777.78 ;2371.7  ;2294.59 ;3777.78 ;2371.7  
